nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,link,latitude,longitude,link_gambar
Sawargiloka Waterland,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.4,818.0,https://www.google.com/maps/place/Sawargiloka+Waterland/data=!4m7!3m6!1s0x2e69c55c9923b63d:0xe71e278a2aade2ad!8m2!3d-6.6206581!4d106.7415364!16s%2Fg%2F11crtym5_7!19sChIJPbYjmVzFaS4RreKtKoonHuc?authuser=0&hl=id&rclk=1,-6.6206581,106.7415364,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygYrh-YMUlbZ5zD2tNQfhurj0Umr1ZWAalne93TLqEsMgC7FADKonPR0BNy5LT-sFrRFCh32xinyyWp_U9GJMRXUVBJtbghCSTRqCMJefwNZ28Va74lBktgNX676gGH99jYqvs=w1200-h800
Bogor Tenjolaya Park,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.2,388.0,https://www.google.com/maps/place/Bogor+Tenjolaya+Park/data=!4m10!3m9!1s0x2e69d035dab74eed:0x65db1afdcbf30b24!5m2!4m1!1i2!8m2!3d-6.6689736!4d106.7035867!16s%2Fg%2F11bzyw_9lv!19sChIJ7U632jXQaS4RJAvzy_0a22U?authuser=0&hl=id&rclk=1,-6.6689736,106.7035867,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0VWZdd7iSHdMfX_ojKKBuTQ1yTDlfBh_VNU12dU_I1l0xOHj8u7pyT2nBZkKcR9iheq4PLtq5ivYq4FjCdrGJS02xwQA9Mpd8kwn-OAj49niMPUpiVcDhm6IDVh2vfcy-p6226A=w1200-h800
Wisata Air Telaga Ciburial,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.5,503.0,https://www.google.com/maps/place/Wisata+Air+Telaga+Ciburial/data=!4m7!3m6!1s0x2e69d12b50cd90c1:0x6647d5db3d2ac611!8m2!3d-6.6595238!4d106.7209644!16s%2Fg%2F11n739jnrl!19sChIJwZDNUCvRaS4REcYqPdvVR2Y?authuser=0&hl=id&rclk=1,-6.6595238,106.7209644,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYfSuazWycRyaruRCVcfYXrph8nToSMfJyFXWTwS9g0_hufaOXEWbYydS8VC3XoRnS6XIeplAaPHEZko9oFxMfNVrpn0l4WJA0n8R3OFAy929BpSMFvp-QEAAPeVwJh2pFSuv0=w1200-h800
CURUG PANGERAN WISATA ALAM,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.5,2605.0,https://www.google.com/maps/place/CURUG+PANGERAN+WISATA+ALAM/data=!4m7!3m6!1s0x2e69d1983daaaab3:0xb28d41ae4a0658d8!8m2!3d-6.6991645!4d106.6929605!16s%2Fg%2F11cm68vrpj!19sChIJs6qqPZjRaS4R2FgGSq5BjbI?authuser=0&hl=id&rclk=1,-6.6991645,106.6929605,https://lh3.googleusercontent.com/p/AF1QipPOsdahTy9kxw0YMOjCX7hb-GiTGjYqVxFa0Yf6=w1200-h800
Jbound Geo Edu Park Air Panas Gunung Malang,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.4,972.0,https://www.google.com/maps/place/Jbound+Geo+Edu+Park+Air+Panas+Gunung+Malang/data=!4m7!3m6!1s0x2e69d02628cd4d9d:0xa079b8b45b26a620!8m2!3d-6.6618495!4d106.7231677!16s%2Fg%2F11c30v338d!19sChIJnU3NKCbQaS4RIKYmW7S4eaA?authuser=0&hl=id&rclk=1,-6.6618495,106.7231677,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzl4kLCey-CvU2yo5FwVnGiPdRaDz3WQuT8afV7ytQYb095setTFdNLwItn1JdjbVMKUWskAM4ePLdz3mxl2nmjhUuImjbAYciMzhDiGYitJgcmp6FhsB8mFzJJuSvii0-smN8V=w1200-h800
Taman Sari Ciapus,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.6,156.0,https://www.google.com/maps/place/Taman+Sari+Ciapus/data=!4m7!3m6!1s0x2e69cf8e1abef771:0x50bfe53c8098c030!8m2!3d-6.6724416!4d106.7337001!16s%2Fg%2F11hyxtqsbr!19sChIJcfe-Go7PaS4RMMCYgDzlv1A?authuser=0&hl=id&rclk=1,-6.6724416,106.7337001,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzo__X3sZHIxVIeyXXH21OZczJsjSHT6Nd2smUmT29mDscBS0oOGNeO1rc2dbXjh844NqK9GwkmzzEF_O0gToiPJbjHO_RQ-oblcfE0MwRFdFC0XlMAKjktAQOj5-XuTQfZ54zt1g=w1200-h800
Pura Parahyangan Agung Jagatkarta,Umum,Lainnya,Tamansari,Kabupaten Bogor,4.8,1554.0,https://www.google.com/maps/place/Pura+Parahyangan+Agung+Jagatkarta/data=!4m7!3m6!1s0x2e69cfc114dd54f3:0x7bd4e9a53b4e9d1e!8m2!3d-6.6688984!4d106.7354632!16s%2Fg%2F1ym_l19_1!19sChIJ81TdFMHPaS4RHp1OO6Xp1Hs?authuser=0&hl=id&rclk=1,-6.6688984,106.7354632,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzcZAuKtJ89NsWmPC5qYwEmggkvJNVmrbq4o1A62vzO6-T2M3vmch233D5fPyOU3Re6wHAmQUAsTzw5y_Q3Aq_cG2U0Dl8ABh3P_yLAUKIRwc1YPCRZdeG0O9ooDn_zAs7np6U-=w1200-h800
Rumah Sutera Alam,Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.5,262.0,https://www.google.com/maps/place/Rumah+Sutera+Alam/data=!4m7!3m6!1s0x2e69cf9605ba101d:0x8e71a4ac1eb664a!8m2!3d-6.6461877!4d106.7585049!16s%2Fg%2F1pzwdf3ym!19sChIJHRC6BZbPaS4RSmbrwUoa5wg?authuser=0&hl=id&rclk=1,-6.6461877,106.7585049,https://images.unsplash.com/photo-1506744038136-46273834288b?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
"Taman Topi Chiquita, Taman sari",Alam,Wisata Alam,Tamansari,Kabupaten Bogor,4.2,110.0,"https://www.google.com/maps/place/Taman+Topi+Chiquita,+Taman+sari/data=!4m7!3m6!1s0x2e69cf7ce9acc581:0xff2e503f8e99653c!8m2!3d-6.6458783!4d106.7404991!16s%2Fg%2F11sxvndsf2!19sChIJgcWs6XzPaS4RPGWZjj9QLv8?authuser=0&hl=id&rclk=1",-6.6458783,106.7404991,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziZivfNm-kuAP1H09vlcWdkaczpqiqiEEKuYPXr2g0d_yFJl_zu2-T_2oiR6Fj8S8TaHB8igmRAiapafgQFBYiVaSE3Nnk52dbSXpZUD5pyEfkDPwHfD0zt4Ve3ZTyAxhUop-KSQ=w1200-h800
Tirtania WaterPark,Rekreasi,Wisata Rekreasi,Tamansari,Kabupaten Bogor,4.3,2404.0,https://www.google.com/maps/place/Tirtania+WaterPark/data=!4m7!3m6!1s0x2e69cf45761aef95:0x3c3cbce87427ea24!8m2!3d-6.6408809!4d106.8054381!16s%2Fg%2F1pzrwf61m!19sChIJle8adkXPaS4RJOondOi8PDw?authuser=0&hl=id&rclk=1,-6.6408809,106.8054381,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTuGzKgxqBgYrjjXA5mq-MPKRgvhQO884GpTWqFDl3QqPFiPPDjSOgV83noPaP99hVUIn8G7AVp-i7DTEZy8X9BuAz9GOOtzKTCPgN6kL1aeADqyefVgRvyz9P-YBVapz_ukhgIg=w1200-h800
